sectperf,unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 
BES,EUR_HAB,AT	896.3 p	874.3 	856.2 e	802 	777.9 e	679.7 	661 e	611 	629.8 e	585 	539 	513 e	436.8 	: 	388.3 	: 	: 	: 	269.2 	: 	: 	: 	: 	165 	: 	: 	: 	121.6 	: 	: 	: 	79.5 	73.2 	: 	: 	51.5 d
BES,EUR_HAB,BA	: 	: 	: 	: 	5.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,EUR_HAB,BE	648.2 p	629.7 	597.1 	570.7 	555.2 	510.3 	463.8 	425.4 	435.9 	417.6 	390.6 	361.4 	359 	348.4 	355.2 	382 	350.5 	323.8 	295.7 	284.2 	270.6 	255.3 	237.5 	223.7 	202 b	176.7 e	: 	159.3 	156.5 	150.6 	140.4 	128.9 	115.2 	105.2 	96 	92.1 
BES,EUR_HAB,BG	38.4 	44.3 	30.8 	22.4 	21 	15.9 	14.6 	7.4 	6.9 	5.7 	4 	3 	3 	2.3 	1.9 	1.8 	1.9 	1.7 b	1.5 	1.3 	2.9 b	3.6 	4.2 	6.5 	3.8 	3.8 	16.8 	54.6 	48.1 	35.3 	: 	: 	: 	: 	: 	: 
BES,EUR_HAB,CH	: 	1780.2 	: 	: 	1489 	: 	: 	: 	993.9 	: 	: 	: 	849.7 	: 	: 	: 	706.9 	: 	: 	: 	637.6 	: 	: 	: 	512.1 	: 	: 	521.1 	: 	: 	477.1 b	: 	: 	288.4 b	: 	226.3 
BES,EUR_HAB,CN_X_HK	: 	113.5 	89.9 	81.7 	71.5 	54.3 	43.1 	33.4 b	24.9 	19.5 	16.2 	12.6 	9.8 	7.9 	7.8 	6.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,EUR_HAB,CY	35.5 p	23 	23.3 	19.6 	16.2 	16.4 	18.1 	20.6 	21.6 	21.3 	19.1 	16.6 	13.8 	12.3 	9.7 	7.6 	7.6 	6.4 	3.9 	: 	: 	: 	: 	: 	2.3 	2.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,EUR_HAB,CZ	171.7 p	167.5 	164.5 	154.2 	146.8 	134.6 	115.5 	102 	111.3 	101.3 	87.6 	73 	67.4 	60.6 	57.4 	48.9 	43.4 	39.2 	39.8 	33 	27.4 	25.4 b	24.6 d	25.6 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,EUR_HAB,DE	764.5 	750.7 	705.7 	665.2 	669.6 	636.7 	573.7 	552.1 	560.4 	522.8 	499.1 	468.5 	464.8 	460.8 	448.2 	441.7 	433.3 	409.8 	367.2 	351 	340.7 e	343.3 	323.7 e	323.5 	320.5 e	313.9 b	373.2 e	360.7 	341.7 e	326.3 	296.1 e	266.4 	230.6 e	215.1 	195.2 e	169 
BES,EUR_HAB,DK	918.8 e	908 p	877.6 	868.9 	891.8 	875.8 	859.1 	894.6 	855.4 	753 b	668.4 	642.5 	617.3 	623.2 	595.7 	548.5 	487.1 	434.1 	387.7 	337 	309.8 e	278.4 	: 	232.6 	215.9 e	202.8 	183.3 	158.4 	147.9 	136.8 	120.4 	103.7 	90.1 	78.2 	65.7 	54.7 
